,date,open_aapl,close_aapl,season,open_gs,close_gs,open_axp,close_axp,last_aapl,last_gs,last_axp
0,2018-06-06,48.10893124169527,50.14474290407227,spring,,,,,,,
1,2018-06-07,48.23937171528867,50.01550387596898,spring,,,,,,,
2,2018-06-08,47.450517422604776,49.50113254411793,spring,,,,,,,
3,2018-06-09,47.77823358388038,49.75650886365001,spring,,,,,,,
4,2018-06-10,47.77823358388038,49.75650886365001,spring,,,,,,,
5,2018-06-11,47.541204609007806,49.41066522444564,spring,234.26,234.13,,,,,
6,2018-06-12,47.5511429308054,49.710499769645246,spring,234.24,232.635,,,,,
7,2018-06-13,47.82320449001449,49.28271858662339,spring,233.575,233.89,,,,,
8,2018-06-14,47.58841163754637,49.330537027021606,spring,235.72,233.61,,,,,
9,2018-06-15,47.21448227991196,48.87044608697393,spring,231.015,231.94,,,,,
10,2018-06-16,47.066152827082895,48.85622979388258,spring,233.762,233.241,,,,,
11,2018-06-17,47.066152827082895,48.85622979388258,spring,233.762,233.241,,,,,
12,2018-06-18,46.665390000594975,48.78514832842577,spring,229.97,231.385,,,,,
13,2018-06-19,46.03927572734666,48.01229894036816,spring,228.31,228.195,,,,,
14,2018-06-20,46.295187513634666,48.20874226308514,spring,229.53,227.74,,,,,
15,2018-06-21,46.53743410745098,47.92053923041483,summer,226.83,227.01,,,,,
16,2018-06-22,46.20946948813043,47.82231756905634,summer,227.01,225.88,,,,,
17,2018-06-23,45.99803169188665,47.74038002523886,summer,228.33,228.042,,,,,
18,2018-06-24,45.99803169188665,47.74038002523886,summer,228.33,228.042,,,,,
19,2018-06-25,45.59080895623031,47.10504096308314,summer,225.88,221.61,,,,,
20,2018-06-26,45.35725839398688,47.64526010055485,summer,222.0,221.7,,,,,
21,2018-06-27,46.02188366420087,47.62716663662039,summer,221.38,220.27,,,,,
22,2018-06-28,45.726218590722496,47.97611201249924,summer,220.49,223.48,,,,,
23,2018-06-29,46.28028003093828,47.90890771788553,summer,224.465,220.68,,,,,
24,2018-06-30,46.07157527318883,47.87220383390421,summer,222.843,221.548,,,,,
25,2018-07-01,46.07157527318883,47.87220383390421,summer,222.843,221.548,,,,,
26,2018-07-02,45.67404240128514,48.38192256074354,summer,220.68,223.23,,,,,
27,2018-07-03,46.65545167879738,47.46691024177232,summer,224.55,220.38,,,,,
28,2018-07-04,46.62750014874166,48.742499449151694,summer,221.485,221.535,,,,,
29,2018-07-05,46.004491601055086,47.92183162069587,summer,220.38,220.74,,,,,
30,2018-07-06,46.06412153184064,48.58612022514672,summer,220.33,221.79,,,,,
31,2018-07-07,46.62750014874166,48.742499449151694,summer,221.485,221.535,,,,,
32,2018-07-08,46.62750014874166,48.742499449151694,summer,221.485,221.535,,,,,
33,2018-07-09,47.05298455070108,49.26074795184584,summer,223.295,227.99,,,,,
34,2018-07-10,47.38840291136982,49.20129799891833,summer,227.995,226.85,,,,,
35,2018-07-11,46.88900224104081,48.57578110289846,summer,226.85,225.66,,,,,
36,2018-07-12,47.05298455070108,49.37706307713879,summer,227.48,227.22,,,,,
37,2018-07-13,47.49151300001984,49.45460649400076,summer,228.45,226.41,,,,,
38,2018-07-14,47.23709196200148,49.24885796126034,summer,226.814,226.826,,,,,
39,2018-07-15,47.23709196200148,49.24885796126034,summer,226.814,226.826,,,,,
40,2018-07-16,47.604561410467454,49.346045710394,summer,227.1,231.44,,,,,
41,2018-07-17,47.14739860777821,49.49079342186967,summer,231.965,231.02,,,,,
42,2018-07-18,47.65176843900602,49.214221901728656,summer,232.31,231.24,,,,,
43,2018-07-19,47.13000654463242,49.62003244997295,summer,231.23,229.63,,,,,
44,2018-07-20,47.64555698788252,49.483039080183474,summer,229.27,231.69,,,,,
45,2018-07-21,47.51138964361503,49.54610772589788,summer,230.375,231.004,,,,,
46,2018-07-22,47.51138964361503,49.54610772589788,summer,230.375,231.004,,,,,
47,2018-07-23,47.35486107530295,49.526980349738594,summer,231.95,233.76,,,,,
48,2018-07-24,47.77475517125123,49.8862648478657,summer,234.695,235.88,,,,,
49,2018-07-25,47.96855244630428,50.35669491016164,summer,235.88,236.65,,,,,
50,2018-07-26,48.35366241596098,50.19902329587564,summer,236.87,237.11,,,,,
51,2018-07-27,48.448076473038114,49.36413917432846,summer,237.89,237.64,,,,,
52,2018-07-28,47.94917271879898,49.62882070388397,summer,235.457,236.208,,,,,
53,2018-07-29,47.94917271879898,49.62882070388397,summer,235.457,236.208,,,,,
54,2018-07-30,47.689037145746994,49.03845682350819,summer,237.64,238.95,,,,,
55,2018-07-31,47.2865351129445,49.18578931554593,summer,239.28,237.43,,,,,
56,2018-08-01,49.47917735953832,52.11434569236624,summer,238.725,236.02,,,,,
57,2018-08-02,49.82329175177996,53.60576407667807,summer,233.88,233.94,,,,,
58,2018-08-03,51.527713940067045,53.75309656871582,summer,233.94,233.495,,,,,
59,2018-08-04,50.90557499553777,53.40880379784868,summer,236.693,235.967,,,,,
60,2018-08-05,50.90557499553777,53.40880379784868,summer,236.693,235.967,,,,,
61,2018-08-06,51.66312357455924,54.03742243054303,summer,234.91,235.93,,,,,
62,2018-08-07,52.034568351744255,53.53339022094024,summer,237.155,237.795,,,,,
63,2018-08-08,51.204718481645294,53.56957714880916,summer,238.04,236.37,,,,,
64,2018-08-09,51.49292981377548,53.990896380425845,summer,236.37,233.745,,,,,
65,2018-08-10,51.51032187692126,53.641951004547,summer,231.18,229.64,,,,,
66,2018-08-11,51.61293504948141,53.88130168459427,summer,235.531,234.696,,,,,
67,2018-08-12,51.61293504948141,53.88130168459427,summer,235.531,234.696,,,,,
68,2018-08-13,51.64200464073936,53.988311599863785,summer,229.64,226.86,,,,,
69,2018-08-14,52.21470043432562,54.21577228932555,summer,227.7,229.56,,,,,
70,2018-08-15,51.94388116534122,54.34242653686677,summer,229.07,229.25,,,,,
71,2018-08-16,52.23581936814551,55.17989543897601,summer,229.25,233.0,,,,,
72,2018-08-17,53.03833885330109,56.23965546942291,summer,233.0,233.38,,,,,
73,2018-08-18,53.04852563314362,55.40839004066261,summer,229.732,230.41000000000005,,,,,
74,2018-08-19,53.04852563314362,55.40839004066261,summer,229.732,230.41000000000005,,,,,
75,2018-08-20,54.1899418915971,55.691681990265,summer,233.38,235.78,,,,,
76,2018-08-21,53.83464688733318,55.588290767782375,summer,235.86,238.58,,,,,
77,2018-08-22,53.219713226107146,55.58570598722032,summer,238.58,239.34,,,,,
78,2018-08-23,53.33524621700416,55.6994363319512,summer,238.6,236.34,,,,,
79,2018-08-24,53.7936513099181,55.87261662960959,summer,236.34,235.11,,,,,
80,2018-08-25,53.74917731987388,56.05561909340384,summer,236.552,237.03000000000003,,,,,
81,2018-08-26,53.74917731987388,56.05561909340384,summer,236.552,237.03000000000003,,,,,
82,2018-08-27,53.97254110227477,56.33270756965727,summer,237.29,242.6,,,,,
83,2018-08-28,54.424734744065226,56.7876289485808,summer,243.125,242.42,,,,,
84,2018-08-29,54.72412668821769,57.63543697293832,summer,241.785,241.4,,,,,
85,2018-08-30,55.473227693711216,58.16531698816176,summer,240.645,239.4,,,,,
86,2018-08-31,56.28568550066439,58.83735993429881,summer,238.575,237.81,,,,,
87,2018-09-01,55.809267199492304,58.416040702682125,summer,240.284,240.726,,,,,
88,2018-09-02,55.809267199492304,58.416040702682125,summer,240.284,240.726,,,,,
89,2018-09-03,55.809267199492304,58.416040702682125,summer,236.9575,235.9425,,,,,
90,2018-09-04,56.75402891537593,59.0260489153296,summer,237.81,237.66,,,,,
91,2018-09-05,56.89192313031752,58.64091661158183,summer,237.66,237.56,,,,,
92,2018-09-06,56.313015885607776,57.6664543396831,summer,237.25,234.64,,,,,
93,2018-09-07,55.13532475259308,57.2011938385113,summer,235.11,233.91,,,,,
94,2018-09-08,55.481923725284105,57.56047833663841,summer,236.9575,235.9425,,,,,
95,2018-09-09,55.481923725284105,57.56047833663841,summer,236.9575,235.9425,,,,,
96,2018-09-10,54.90301648057435,56.43351401157783,summer,233.91,231.91,,,,,
97,2018-09-11,54.16633837732782,57.86031288183802,summer,231.91,230.21,,,,,
98,2018-09-12,55.87821430696311,57.139159105021726,summer,230.6,228.15,,,,,
99,2018-09-13,55.54403823651906,58.52201670572681,summer,229.5,228.33,,,,,
100,2018-09-14,55.96765920314144,57.85772810127596,summer,229.14,229.23,,,,,
101,2018-09-15,55.340551097713366,57.24927075696572,summer,231.012,229.566,,,,,
102,2018-09-16,55.340551097713366,57.24927075696572,summer,231.012,229.566,,,,,
103,2018-09-17,55.19247010292923,56.31719888628487,summer,229.23,227.89,,,,,
104,2018-09-18,54.12037363901396,56.41025098651923,summer,228.53,228.89,,,,,
105,2018-09-19,54.29553656069652,56.44385313382608,summer,228.89,235.575,,,,,
106,2018-09-20,54.73779188068938,56.87292670712897,summer,236.755,237.4,,,,,
107,2018-09-21,54.907985641473154,56.26033371391943,summer,238.245,235.42,,,,,
108,2018-09-22,54.48660079725524,56.81554457865112,summer,232.33,233.035,,,,,
109,2018-09-23,54.48660079725524,56.81554457865112,autumn,232.33,233.035,,,,,
110,2018-09-24,53.88558078654584,57.06937002984595,autumn,234.695,232.9,,,,,
111,2018-09-25,54.60610911687128,57.43123930853513,autumn,232.9,232.47,,,,,
112,2018-09-26,54.94401205798942,56.97373314904952,autumn,232.715,228.78,,,,,
113,2018-09-27,55.6210602304504,58.14463874366523,autumn,228.78,227.75,,,,,
114,2018-09-28,55.84467247089623,58.34883640806842,autumn,225.84,224.24,,,,,
115,2018-09-29,55.91200460107491,58.29455601626503,autumn,230.986,229.228,,,,,
116,2018-09-30,55.91200460107491,58.29455601626503,autumn,230.986,229.228,,,,,
117,2018-10-01,56.6695531800964,58.74172305350238,autumn,226.0,225.33,,,,,
118,2018-10-02,56.48072506594214,59.26384872703963,autumn,225.33,226.07,,,,,
119,2018-10-03,57.19876881581819,59.992756845542125,autumn,226.07,227.94,,,,,
120,2018-10-04,57.37020486682666,58.93041203453318,autumn,228.79,227.58,,,,,
121,2018-10-05,56.68570295301749,57.9740432265689,autumn,227.58,225.71,,,,,
122,2018-10-06,56.378111893382005,58.67710353945076,autumn,226.754,226.526,,,,,
123,2018-10-07,56.378111893382005,58.67710353945076,autumn,226.754,226.526,,,,,
124,2018-10-08,55.06824108045932,57.83704985677943,autumn,225.71,225.5,,,,,
125,2018-10-09,55.56764175078835,58.65125573383009,autumn,224.88,222.93,,,,,
126,2018-10-10,56.04219661662338,55.9243122408509,autumn,222.93,215.0,,,,,
127,2018-10-11,53.26940483509511,55.43061915349637,autumn,213.35,212.97,,,,,
128,2018-10-12,54.90674335124845,57.41056106403862,autumn,216.95,213.87,,,,,
129,2018-10-13,54.70897074747636,56.473836588346046,autumn,220.764,215.0,,,,,
130,2018-10-14,54.70897074747636,56.473836588346046,autumn,220.764,215.0,,,,,
131,2018-10-15,54.920408543720136,56.182790297057466,autumn,213.87,215.22,,,,,
132,2018-10-16,54.40610039069473,57.42090018628687,autumn,215.22,221.7,,,,,
133,2018-10-17,55.21731590742321,57.17534603289064,autumn,220.48,228.265,,,,,
134,2018-10-18,54.12906967058685,55.83642970174068,autumn,227.36,224.94,,,,,
135,2018-10-19,54.18248815024891,56.68682250666025,autumn,224.94,226.96,,,,,
136,2018-10-20,54.33976209269581,56.85741802375658,autumn,220.48,223.417,,,,,
137,2018-10-21,54.33976209269581,56.85741802375658,autumn,220.48,223.417,,,,,
138,2018-10-22,54.60238224619718,57.01767441860464,autumn,227.25,221.54,,,,,
139,2018-10-23,53.56755448902288,57.57081745888667,autumn,216.82,218.47,,,,,
140,2018-10-24,55.29930706225335,55.59604510946858,autumn,218.47,209.18,,,,,
141,2018-10-25,54.09055867362118,56.81347675420147,autumn,211.28,213.88,,,,,
142,2018-10-26,53.661968546100006,55.908803557478514,autumn,210.8,212.36,,,,,
143,2018-10-27,53.98695166888128,55.66221549185745,autumn,216.82,215.086,,,,,
144,2018-10-28,53.98695166888128,55.66221549185745,autumn,216.82,215.086,,,,,
145,2018-10-29,54.4508228387839,54.85938264927989,autumn,214.45,214.49,,,,,
146,2018-10-30,52.43210122364796,55.13336938885884,autumn,215.5,219.29,,,,,
147,2018-10-31,53.97378339249947,56.5705073813673,autumn,219.29,225.45,,,,,
148,2018-11-01,54.42721932451462,57.438993650221335,autumn,226.25,226.87,,,,,
149,2018-11-02,52.06438331713704,53.62902710173666,autumn,229.795,229.585,,,,,
150,2018-11-03,52.28377177081889,54.483038599443134,autumn,219.29,225.45,,,,,
151,2018-11-04,52.28377177081889,54.483038599443134,autumn,219.29,225.45,,,,,
152,2018-11-05,50.76494774210183,52.10659135068004,autumn,228.93,228.72,,,,,
153,2018-11-06,50.18852507784148,52.67007351321034,autumn,228.72,228.14,,,,,
154,2018-11-07,51.17987267715132,54.267467900566864,autumn,230.55,231.315,,,,,
155,2018-11-08,52.167493405787056,53.89008993850529,autumn,231.315,231.685,,,,,
156,2018-11-09,51.06806655692839,52.851008152554925,autumn,231.685,222.54,,,,,
157,2018-11-10,50.2985919917498,52.17689738196822,autumn,230.24,228.48,,,,,
158,2018-11-11,50.2985919917498,52.17689738196822,autumn,230.24,228.48,,,,,
159,2018-11-12,49.44439323324674,50.18868417362737,autumn,221.85,206.05,,,,,
160,2018-11-13,47.63313408563553,49.687236744586656,autumn,204.535,204.875,,,,,
161,2018-11-14,48.15489598000914,48.283700899385046,autumn,206.49,202.435,,,,,
162,2018-11-15,46.808253376435374,49.47528473849728,autumn,201.21,203.83,,,,,
163,2018-11-16,47.34989191440415,50.02325821765518,autumn,202.86,202.11,,,,,
164,2018-11-17,46.76750625706524,48.31161652945535,autumn,204.535,203.86,,,,,
165,2018-11-18,46.76750625706524,48.31161652945535,autumn,204.535,203.86,,,,,
166,2018-11-19,47.205786248339066,48.040731526550886,autumn,201.6,198.18,,,,,
167,2018-11-20,44.31870376613848,45.73510726518838,autumn,195.455,191.34,,,,,
168,2018-11-21,44.65536441703192,45.6885812150712,autumn,191.7,192.6,,,,,
169,2018-11-22,43.5087305396347,45.099251246920254,autumn,195.33875,192.805,,,,,
170,2018-11-23,43.450342899073846,44.53318430382789,autumn,192.6,189.1,,,,,
171,2018-11-24,43.5087305396347,45.099251246920254,autumn,195.33875,192.805,,,,,
172,2018-11-25,43.5087305396347,45.099251246920254,autumn,195.33875,192.805,,,,,
173,2018-11-26,43.27517997739128,45.13543817478917,autumn,191.265,194.325,,,,,
174,2018-11-27,42.65403486504176,45.039801293992745,autumn,193.52,193.65,,,,,
175,2018-11-28,43.88762905816791,46.76901949001461,autumn,195.03,198.35,,,,,
176,2018-11-29,45.38210419848086,46.409734991887504,autumn,198.35,194.85,,,,,
177,2018-11-30,44.61064196894276,46.15901127736714,autumn,190.35,190.575,,,,,
178,2018-12-01,44.93587354976897,46.55603357170041,autumn,193.703,194.35,,,,,
179,2018-12-02,44.93587354976897,46.55603357170041,autumn,193.703,194.35,,,,,
180,2018-12-03,45.82808638914782,47.77191434809606,autumn,194.13,191.63,,,,,
181,2018-12-04,44.97090613410548,45.67048775113674,autumn,190.75,184.31,,,,,
182,2018-12-05,42.35340063066459,44.03432165534923,autumn,187.375,184.9475,,,,,
183,2018-12-06,42.67391150863694,45.16128598040982,autumn,180.99,184.18,,,,,
184,2018-12-07,43.08014041211353,43.55096769024297,autumn,184.0,179.67,,,,,
185,2018-12-08,42.35340063066459,44.03432165534923,autumn,187.375,184.9475,,,,,
186,2018-12-09,42.35340063066459,44.03432165534923,autumn,187.375,184.9475,,,,,
187,2018-12-10,40.99060825416973,43.83787833263224,autumn,179.67,178.83,,,,,
188,2018-12-11,42.66894234773815,43.58715461811188,autumn,182.23,176.78,,,,,
189,2018-12-12,42.31364734347422,43.708639304528965,autumn,178.98,176.73,,,,,
190,2018-12-13,42.3459468893164,44.1868237085111,autumn,177.64,176.02,,,,,
191,2018-12-14,41.887541796402445,42.77294874106123,autumn,174.49,172.79,,,,,
192,2018-12-15,41.75287753604507,43.1976281874086,autumn,178.602,176.23,,,,,
193,2018-12-16,41.75287753604507,43.1976281874086,autumn,178.602,176.23,,,,,
194,2018-12-17,41.12229101798784,42.39427838871862,autumn,169.47,168.015,,,,,
195,2018-12-18,41.09496063304446,42.925450794223096,autumn,169.44,171.5,,,,,
196,2018-12-19,41.20925133371677,41.581364901948994,autumn,171.5,169.25,,,,,
197,2018-12-20,39.805463379806845,40.5371135548745,autumn,169.25,168.385,,,,,
198,2018-12-21,38.943313963865705,38.960397412014494,winter,168.51,160.05,,,,,
199,2018-12-22,39.18649227535055,39.77977285018929,winter,169.634,167.44,,,,,
200,2018-12-23,39.18649227535055,39.77977285018929,winter,169.634,167.44,,,,,
201,2018-12-24,36.78794042401286,38.040215531919145,winter,159.16,156.35,,,,,
202,2018-12-25,39.18649227535055,39.77977285018929,winter,160.2225,161.92999999999998,,,,,
203,2018-12-26,36.85005493524781,40.62499609398473,winter,156.35,162.93,,,,,
204,2018-12-27,38.794239136901815,40.26054203473348,winter,159.78,165.41,,,,,
205,2018-12-28,39.12841520734587,40.38202672115057,winter,165.6,163.03,,,,,
206,2018-12-29,38.53956964083852,40.509973358972815,winter,160.2225,161.92999999999998,,,,,
207,2018-12-30,38.53956964083852,40.509973358972815,winter,160.2225,161.92999999999998,,,,,
208,2018-12-31,39.385569283858565,40.77232858602247,winter,163.99,167.05,,,,,
209,2019-01-01,38.53956964083852,40.509973358972815,winter,168.0675,170.9,,,,,
210,2019-01-02,38.446397873986086,40.81885463613965,winter,163.99,171.99,,,,,
211,2019-01-03,35.772989310433736,36.725854616108805,winter,171.0,169.51,,,,,
212,2019-01-04,35.882310850207254,38.3219566131843,winter,173.29,175.05,,,,,
213,2019-01-05,36.84682498066359,38.6137783386415,winter,168.0675,170.9,,,,,
214,2019-01-06,36.84682498066359,38.6137783386415,winter,168.0675,170.9,,,,,
215,2019-01-07,36.92831921940385,38.23665885463613,winter,175.05,176.06,,,,,
216,2019-01-08,37.204107649287046,38.96556697313863,winter,177.8,175.35,,,,,
217,2019-01-09,37.58300616782024,39.62727079702741,winter,176.145,176.47,,,,,
218,2019-01-10,37.874944370624526,39.75392504456863,winter,175.675,176.0,,,,,
219,2019-01-11,37.99917339309443,39.36362317969672,winter,174.83,176.93,,,,,
220,2019-01-12,37.72661491779546,39.41635270316287,winter,175.90000000000003,176.16199999999998,,,,,
221,2019-01-13,37.72661491779546,39.41635270316287,winter,175.90000000000003,176.16199999999998,,,,,
222,2019-01-14,37.83767566388355,38.77170843098371,winter,174.55,178.72,,,,,
223,2019-01-15,37.338274993554535,39.56523606353784,winter,178.39,179.91,,,,,
224,2019-01-16,38.01905003668962,40.04859002864411,winter,186.76,197.08,,,,,
225,2019-01-17,38.31347281994329,40.28638984035414,winter,195.695,199.09,,,,,
226,2019-01-18,39.14208039981755,40.53452877431244,winter,200.2,202.54,,,,,
227,2019-01-19,38.59423041072528,40.12354866494401,winter,186.76,197.08,,,,,
228,2019-01-20,38.59423041072528,40.12354866494401,winter,186.76,197.08,,,,,
229,2019-01-21,38.59423041072528,40.12354866494401,winter,198.21375,198.30875,,,,,
230,2019-01-22,38.90231838645064,39.62468601646536,winter,200.43,197.715,,,,,
231,2019-01-23,38.26999266207882,39.79657392384272,winter,197.655,196.97,,,,,
232,2019-01-24,38.22775479443906,39.46959918274141,winter,196.97,197.8,,,,,
233,2019-01-25,38.58553437915239,40.76715902489833,winter,197.8,200.75,,,,,
234,2019-01-26,38.523171409872496,40.08296761011958,winter,198.21375,198.30875,,,,,
235,2019-01-27,38.523171409872496,40.08296761011958,winter,198.21375,198.30875,,,,,
236,2019-01-28,38.729640045217465,40.40012018508503,winter,197.9,199.72,,,,,
237,2019-01-29,38.80293516847472,39.9813857340304,winter,198.21,200.5,,,,,
238,2019-01-30,40.55704896574977,42.71349878813372,winter,200.785,202.48,,,,,
239,2019-01-31,41.2912424885469,43.02108767501952,winter,200.295,198.0,,,,,
240,2019-02-01,41.50367411697044,43.04176591951605,winter,197.83,196.56,,,,,
241,2019-02-02,41.58243531721636,43.61248546762013,winter,199.004,199.452,,,,,
242,2019-02-03,41.58243531721636,43.61248546762013,winter,199.004,199.452,,,,,
243,2019-02-04,41.59933046427227,44.26436712537307,winter,195.9,197.72,,,,,
244,2019-02-05,42.96088055054242,45.02170783005828,winter,198.06,198.01,,,,,
245,2019-02-06,43.43046625547866,45.03721651343068,winter,198.01,196.645,,,,,
246,2019-02-07,42.80683656267973,44.18423892794903,winter,196.645,193.07,,,,,
247,2019-02-08,41.97574440235608,44.04724555815956,winter,193.07,191.67,,,,,
248,2019-02-09,42.60235559169427,44.24679061755101,winter,196.337,195.423,,,,,
249,2019-02-10,42.60235559169427,44.24679061755101,winter,196.337,195.423,,,,,
250,2019-02-11,42.52856355234715,43.79393706307713,winter,192.82,191.33,,,,,
251,2019-02-12,42.27016718560975,44.1713150251387,winter,193.34,194.49,,,,,
252,2019-02-13,42.5956472244809,43.98779560523205,winter,195.99,194.69,,,,,
253,2019-02-14,42.19562977212781,44.14675960979908,winter,194.69,192.53,,,,,
254,2019-02-15,42.55092477639173,44.04724555815956,winter,193.54,198.5,,,,,
255,2019-02-16,42.3667552505801,44.08569416902028,winter,194.076,194.308,,,,,
256,2019-02-17,42.3667552505801,44.08569416902028,winter,194.076,194.308,,,,,
257,2019-02-18,42.3667552505801,44.08569416902028,winter,197.63375,197.4075,,,,,
258,2019-02-19,42.12481922931996,44.16097590289044,winter,196.6,198.67,,,,,
259,2019-02-20,42.50620232830257,44.465980009214185,winter,198.71,198.6,,,,,
260,2019-02-21,42.672669218412246,44.202332391883495,winter,198.865,196.36,,,,,
261,2019-02-22,42.5968895147056,44.662423331931166,winter,196.36,196.0,,,,,
262,2019-02-23,42.82944624476927,44.67974136169701,winter,197.63375,197.4075,,,,,
263,2019-02-24,42.82944624476927,44.67974136169701,winter,197.63375,197.4075,,,,,
264,2019-02-25,43.244122721773806,45.00749153696693,winter,198.09,198.65,,,,,
265,2019-02-26,43.127347440652095,45.06047953848927,winter,198.615,198.97,,,,,
266,2019-02-27,43.03790254447376,45.18971856659255,winter,198.69,198.1,,,,,
267,2019-02-28,43.311206393907554,44.75547543216553,winter,198.1,196.71,,,,,
268,2019-03-01,43.30126807210996,45.205227249964935,winter,198.945,198.2,,,,,
269,2019-03-02,43.40437816075998,45.19488812771668,winter,198.488,198.12600000000003,,,,,
